"id","publisher","description","published_date","title","url","entities","sentiment","summary"
11,Benzinga,"Apple Inc. (NASDAQ:AAPL) will release its first-quarter financial results, after the closing bell, on Thursday, Jan. 30, 2025.

Analysts expect the Cupertino, California-based company to report quarterly earnings at $2.35 per share, up from $2.18 per share in the year-ago period. Apple projects quarterly revenue of $124.13 billion, compared to $119.58 billion a year earlier, according to data from Benzinga Pro.

The company has beaten analyst revenue estimates in seven straight quarters and nine of the last 10 quarters overall.

With the recent buzz around Apple, some investors may be eyeing potential gains from the company's dividends. As of now, Apple offers an annual dividend yield of 0.42%, which is a quarterly dividend amount of 25 cents per share (1.00 a year).

So, how can investors exploit its dividend yield to pocket a regular $500 monthly?

To earn $500 per month or $6,000 annually from dividends alone, you would need an investment of approximately $1,436,160 or around 6,000 shares. For a more modest $100 per month or $1,200 per year, you would need $287,232 or around 1,200 shares.

To calculate: Divide the desired annual income ($6,000 or $1,200) by the dividend ($1.00 in this case). So, $6,000 / $1.00 = 6,000 ($500 per month), and $1,200 / $1.00 = 1,200 shares ($100 per month).

View more earnings on AAPL

Note that dividend yield can change on a rolling basis, as the dividend payment and the stock price both fluctuate over time.

How that works: The dividend yield is computed by dividing the annual dividend payment by the stock’s current price.

For example, if a stock pays an annual dividend of $2 and is currently priced at $50, the dividend yield would be 4% ($2/$50). However, if the stock price increases to $60, the dividend yield drops to 3.33% ($2/$60). Conversely, if the stock price falls to $40, the dividend yield rises to 5% ($2/$40).

Similarly, changes in the dividend payment can impact the yield. If a company increases its dividend, the yield will also increase, provided the stock price stays the same. Conversely, if the dividend payment decreases, so will the yield.

Price Action: Shares of Apple gained 0.5% to close at $239.36 on Wednesday.

Read More:

Jim Cramer: This Industrial Stock Is ‘Absolutely Terrific’, First Solar Is ‘Very Inexpensive’

Image: Shutterstock

Up Next: Transform your trading with Benzinga Edge's one-of-a-kind market trade ideas and tools. Click now to access unique insights that can set you ahead in today's competitive market.

Get the latest stock analysis from Benzinga?

This article How To Earn $500 A Month From Apple Stock Ahead Of Q1 Earnings originally appeared on Benzinga.com",2025-01-30 21:27:49.000,How To Earn $500 A Month From Apple Stock Ahead Of Q1 Earnings,https://finance.yahoo.com/news/earn-500-month-apple-stock-132749940.html,{Apple},,"So, how can investors exploit its dividend yield to pocket a regular $500 monthly?
So, $6,000 / $1.00 = 6,000 ($500 per month), and $1,200 / $1.00 = 1,200 shares ($100 per month).
However, if the stock price increases to $60, the dividend yield drops to 3.33% ($2/$60).
Conversely, if the stock price falls to $40, the dividend yield rises to 5% ($2/$40).
This article How To Earn $500 A Month From Apple Stock Ahead Of Q1 Earnings originally appeared on Benzinga.com"
12,GuruFocus.com,"Apple (AAPL, Financials) was downgraded to Perform from Outperform by Oppenheimer ahead of its first-quarter fiscal 2025 earnings report, with analysts citing slowing iPhone sales and competitive pressures in China.

Pointing to a reduced iPhone sales forecast over the next 12 to 18 months, the investment group also eliminated its $250 price estimate on the shares. Two main issues raised by Oppenheimer analysts Martin Young and Andrew Northcutt were growing competition in China and a dearth of convincing Apple Intelligence and generative artificial intelligence apps to propel near term device upgrades.

Referring to Canalys statistics, the company observed that Apple exports to China dropped 25% in the fourth quarter and dropped 17% in the fourth quarter. Young noted that a delayed iPhone replacement cycle into fiscal 2026 might arise from Apple Intelligence's sluggish adoption and the lack of major generative AI consumer apps.

From prior predictions of $431 billion and $7.73, Oppenheimer reduced its fiscal 2025 sales and earnings per share estimates to $407 billion and $7.22, respectively.

After the market closes on Thursday, Apple is scheduled to unveil its first-quarter fiscal 2025 earnings.",2025-01-30 02:54:23.000,"Apple Downgraded by Oppenheimer on Slower iPhone Sales, China Market Pressures",https://finance.yahoo.com/news/apple-downgraded-oppenheimer-slower-iphone-185423954.html,{Apple},,"Apple (AAPL, Financials) was downgraded to Perform from Outperform by Oppenheimer ahead of its first-quarter fiscal 2025 earnings report, with analysts citing slowing iPhone sales and competitive pressures in China.
Pointing to a reduced iPhone sales forecast over the next 12 to 18 months, the investment group also eliminated its $250 price estimate on the shares.
Referring to Canalys statistics, the company observed that Apple exports to China dropped 25% in the fourth quarter and dropped 17% in the fourth quarter.
From prior predictions of $431 billion and $7.73, Oppenheimer reduced its fiscal 2025 sales and earnings per share estimates to $407 billion and $7.22, respectively.
After the market closes on Thursday, Apple is scheduled to unveil its first-quarter fiscal 2025 earnings."
13,Barrons.com,"In This Article:

When Apple reports its fiscal first quarter results on Thursday, the stakes are particularly high. 1. At half of total revenue in fiscal 2024, iPhone sales are always paramount in Apple’s financials. Wall Street analysts see only a 1.4% annual increase in iPhone sales from a year before, so it may mean another year of low iPhone growth, like in fiscal 2022 through 2024.

Recommended Stories",2025-01-30 15:35:47.000,"3 Things to Look for in Apple’s Earnings",https://finance.yahoo.com/m/a8b778a8-85f2-3887-87c0-0c62fb3b018a/3-things-to-look-for-in.html,{Apple},,"In This Article: When Apple reports its fiscal first quarter results on Thursday, the stakes are particularly high.
At half of total revenue in fiscal 2024, iPhone sales are always paramount in Apple’s financials.
Wall Street analysts see only a 1.4% annual increase in iPhone sales from a year before, so it may mean another year of low iPhone growth, like in fiscal 2022 through 2024.
Recommended Stories"
14,Yahoo Finance,"Apple (AAPL) is set to announce its first quarter earnings after the bell on Thursday amid concerns that iPhone sales aren’t getting the kind of boost from its Apple Intelligence platform that investors initially hoped.

Both Jefferies and Loop Capital downgraded Apple’s stock last week, with Jefferies analyst Edison Lee saying he expects Apple to report lower-than-anticipated results for the December quarter and miss on expectations for the second quarter.

Oppenheimer also downgraded shares on Wednesday, citing slower iPhone growth pressured by competition in China and a lack of AI innovation to catalyze a new upgrade cycle.

According to estimates by IDC and Canalys, overall iPhone market share fell 1% year over year in Q4 to 23% despite the broader market for smartphone shipments increasing by 3%. Apple kicked off its big AI push in October, releasing the first raft of its Apple Intelligence updates.

The software was meant to serve as a key feature to entice consumers to upgrade to the company’s latest and greatest smartphones, the iPhone 16 line, but analysts worry it hasn’t quite pushed users to set out in droves to buy the new phones.

Apple will continue to release Apple Intelligence updates throughout the year, enhancing its capabilities with more useful functions, including the ability to gather information across multiple apps from a single interface. And while that certainly sounds helpful, hardware upgrades like bigger screens, better batteries, and improved cameras are still an easier sell.

For the quarter, Apple is expected to report earnings per share of $2.35 on revenue of $124.1 billion, according to Bloomberg consensus estimates. That would be a jump from the $2.18 per share and $119.5 billion in revenue the company saw in the same quarter 12 months ago.

Apple’s iPhone segment is set to bring in $71 billion, up from $69 billion last year, while its Services segment is set to generate $26 billion in revenue, an increase from $23.1 billion. Greater China revenue is expected to top out at $21.5 billion, higher than the $20.8 billion the region brought in last year.

China has proven to be a persistent area of trouble for Apple over the last two years. Sales in the region declined 8% in 2024, falling to $66.9 billion, and 2% in 2023. At the time, Apple blamed weakness in the renminbi versus the dollar and lower iPhone and iPad sales.",2025-01-30 02:15:58.000,Apple to report Q1 earnings a week after stock hit with multiple downgrades,https://finance.yahoo.com/news/apple-to-report-q1-earnings-a-week-after-stock-hit-with-multiple-downgrades-181558755.html,{Apple},,"Apple (AAPL) is set to announce its first quarter earnings after the bell on Thursday amid concerns that iPhone sales aren’t getting the kind of boost from its Apple Intelligence platform that investors initially hoped.
Apple kicked off its big AI push in October, releasing the first raft of its Apple Intelligence updates.
Apple will continue to release Apple Intelligence updates throughout the year, enhancing its capabilities with more useful functions, including the ability to gather information across multiple apps from a single interface.
For the quarter, Apple is expected to report earnings per share of $2.35 on revenue of $124.1 billion, according to Bloomberg consensus estimates.
Greater China revenue is expected to top out at $21.5 billion, higher than the $20.8 billion the region brought in last year."
15,MT Newswires,"In This Article:

Apple (AAPL) is facing stronger competition in China and a ""lack of compelling Apple Intelligence an

Upgrade to read this MT Newswires article and get so much more.

A Silver or Gold subscription plan is required to access premium news articles.

Recommended Stories",2025-01-29 23:08:05.000,"Apple Facing Slower Replacement Demand, Stronger China Competition, Oppenheimer Says",https://finance.yahoo.com/news/apple-facing-slower-replacement-demand-150805551.html,{Apple},,"In This Article: Apple (AAPL) is facing stronger competition in China and a ""lack of compelling Apple Intelligence an Upgrade to read this MT Newswires article and get so much more.
A Silver or Gold subscription plan is required to access premium news articles.
Recommended Stories"
16,The Fly,"Mizuho upgraded Coinbase (COIN) to Neutral from Underperform with a price target of $290, up from $250. The firm says its analysis of bitcoin adoption growth points to further upside in bitcoin price over the medium-term, and notes Bitcoin price and Coinbase shares are highly correlated.

Barclays upgraded Nextracker (NXT) to Overweight from Equal Weight with a price target of $60, up from $47. The firm now expects the company to track towards the upper end, if not above, all its guidance metrics for fiscal 2025. Jefferies also upgraded Nextracker to Buy from Hold with a price target of $56, up from $46.

Needham upgraded Open Lending (LPRO) to Buy from Hold with a $7 price target. The firm sees signs of stabilization and modest improvement in the auto lending market.

Cantor Fitzgerald upgraded Beam Therapeutics (BEAM) to Overweight from Neutral without a price target ahead of the upcoming preliminary data readout for BEAM-302 in alpha-1 antitrypsin deficiency.

Stephens upgraded NBT Bancorp (NBTB) to Overweight from Equal Weight with an unchanged $53 price target following earnings. The firm sees the bank having ""best-of-breed fundamentals,"" including a strong low-cost deposit base, diversified and high-quality revenue composition, an improving yield curve, and improving markets in Syracuse, Malta, and Albany in the wake of the CHIPS Act push to create semiconductor chip manufacturing plants here in the U.S.

Oppenheimer downgraded Apple (AAPL) to Perform from Outperform with no price target as the firm lowered its FY26 EPS estimate by 4% to $7.95, which is below consensus at $8.23, based on reduced iPhone sales estimates in the next 12-18 months.

Stifel downgraded Datadog (DDOG) to Hold from Buy with a price target of $140, down from $165. The firm warns that the company is heading for headwinds to revenue growth and margin expansion in FY25 while the stock is trading at a ""full valuation"" of 13.5-times on enterprise value to expected forward revenue basis.

Goldman Sachs downgraded Moderna (MRNA) to Neutral from Buy with a price target of $51, down from $99. The recent product revenue guidance represents the second in a series of negative revisions over the last six months, the firm notes.

Oppenheimer downgraded Transcat (TRNS) to Perform from Outperform without a price target. The company's fiscal Q3 results fell short of expectations and Transcat reduced its fiscal 2025 organic service growth outlook, the firm tells investors in a research note.

Baird downgraded Leap Therapeutics (LPTX) to Neutral from Outperform with a price target of $1.25, down from $9, after the company announced results from Phase 2 trials of sirexatamab in colorectal cancer and gastric cancer.",2025-01-29 22:36:04.000,"Apple downgraded, Rivian initiated: Wall Street's top analyst calls",https://finance.yahoo.com/news/apple-downgraded-rivian-initiated-wall-143604551.html,{Apple},,"Mizuho upgraded Coinbase (COIN) to Neutral from Underperform with a price target of $290, up from $250.
The firm says its analysis of bitcoin adoption growth points to further upside in bitcoin price over the medium-term, and notes Bitcoin price and Coinbase shares are highly correlated.
Barclays upgraded Nextracker (NXT) to Overweight from Equal Weight with a price target of $60, up from $47.
Stifel downgraded Datadog (DDOG) to Hold from Buy with a price target of $140, down from $165.
Goldman Sachs downgraded Moderna (MRNA) to Neutral from Buy with a price target of $51, down from $99."
23,MT Newswires,"Blackstone (BX) has an average rating of hold and mean price target of $181.10, according to analyst

Upgrade to read this MT Newswires article and get so much more.

A Silver or Gold subscription plan is required to access premium news articles.

Recommended Stories",2025-01-30 20:04:15.000,"HSBC Adjusts Price Target on Blackstone to $192 From $161, Keeps Hold Rating",https://finance.yahoo.com/news/hsbc-adjusts-price-target-blackstone-120415632.html,{HSBC},,"Blackstone (BX) has an average rating of hold and mean price target of $181.10, according to analyst Upgrade to read this MT Newswires article and get so much more.
A Silver or Gold subscription plan is required to access premium news articles.
Recommended Stories"
17,GlobeNewswire,"PUBLIC DEALING DISCLOSURE BY AN EXEMPT PRINCIPAL TRADER WITH RECOGNISED INTERMEDIARY STATUS DEALING IN A CLIENT-SERVING CAPACITY

Rule 8.5 of the Takeover Code (the “Code”)

1. KEY INFORMATION

2. DEALINGS BY THE EXEMPT PRINCIPAL TRADER

Where there have been dealings in more than one class of relevant securities of the offeror or offeree named in 1(b), copy table 2(a), (b), (c) or (d) (as appropriate) for each additional class of relevant security dealt in.

The currency of all prices and other monetary amounts should be stated.

(a) Purchases and sales

(b) Cash-settled derivative transactions

(c) Stock-settled derivative transactions (including options)

(i) Writing, selling, purchasing or varying

(ii) Exercise

(d) Other dealings (including subscribing for new securities)

3. OTHER INFORMATION

(a) Indemnity and other dealing arrangements

(b) Agreements, arrangements or understandings relating to options or derivatives",2025-01-30 19:40:00.000,HSBC Bank Plc - Form 8.5 (EPT/RI) - Loungers plc,https://finance.yahoo.com/news/hsbc-bank-plc-form-8-114000102.html,{HSBC},,"PUBLIC DEALING DISCLOSURE BY AN EXEMPT PRINCIPAL TRADER WITH RECOGNISED INTERMEDIARY STATUS DEALING IN A CLIENT-SERVING CAPACITY Rule 8.5 of the Takeover Code (the “Code”) 1.
KEY INFORMATION 2.
The currency of all prices and other monetary amounts should be stated.
(a) Purchases and sales (b) Cash-settled derivative transactions (c) Stock-settled derivative transactions (including options) (i) Writing, selling, purchasing or varying (ii) Exercise (d) Other dealings (including subscribing for new securities) 3.
OTHER INFORMATION (a) Indemnity and other dealing arrangements (b) Agreements, arrangements or understandings relating to options or derivatives"
18,GlobeNewswire,"FORM 8.5 (EPT/RI)

PUBLIC DEALING DISCLOSURE BY AN EXEMPT PRINCIPAL TRADER WITH RECOGNISED INTERMEDIARY STATUS DEALING IN A CLIENT-SERVING CAPACITY

Rule 8.5 of the Takeover Code (the “Code”)

1. KEY INFORMATION

2. DEALINGS BY THE EXEMPT PRINCIPAL TRADER

Where there have been dealings in more than one class of relevant securities of the offeror or offeree named in 1(b), copy table 2(a), (b), (c) or (d) (as appropriate) for each additional class of relevant security dealt in.

The currency of all prices and other monetary amounts should be stated.

(a) Purchases and sales

(b) Cash-settled derivative transactions

(c) Stock-settled derivative transactions (including options)

(i) Writing, selling, purchasing or varying

(ii) Exercise

(d) Other dealings (including subscribing for new securities)

3. OTHER INFORMATION

(a) Indemnity and other dealing arrangements

(b) Agreements, arrangements or understandings relating to options or derivatives

Public disclosures under Rule 8 of the Code must be made to a Regulatory Information Service.",2025-01-30 19:33:00.000,HSBC Bank Plc -  Form 8.5 (EPT/RI) - Learning Technologies Group plc,https://finance.yahoo.com/news/hsbc-bank-plc-form-8-113300153.html,{HSBC},,"FORM 8.5 (EPT/RI) PUBLIC DEALING DISCLOSURE BY AN EXEMPT PRINCIPAL TRADER WITH RECOGNISED INTERMEDIARY STATUS DEALING IN A CLIENT-SERVING CAPACITY Rule 8.5 of the Takeover Code (the “Code”) 1.
KEY INFORMATION 2.
The currency of all prices and other monetary amounts should be stated.
(a) Purchases and sales (b) Cash-settled derivative transactions (c) Stock-settled derivative transactions (including options) (i) Writing, selling, purchasing or varying (ii) Exercise (d) Other dealings (including subscribing for new securities) 3.
OTHER INFORMATION (a) Indemnity and other dealing arrangements (b) Agreements, arrangements or understandings relating to options or derivatives Public disclosures under Rule 8 of the Code must be made to a Regulatory Information Service."
19,Zacks,"HSBC Holdings PLC HSBC plans to close its mergers and acquisitions (M&A) and some equities businesses in Europe and the Americas to enhance its focus on the Asian region. This was first reported by Bloomberg.

Rationale Behind HSBC’s Retrenchment

The move aims to accelerate the shift from Western markets to Eastern regions where HSBC has higher profitability.

Michael Roberts, CEO of HSBC Bank, stated, “Our intention is to move to a more competitive, scalable, financing-led model.” The bank also mentioned retaining more focused M&A and equity capital markets capabilities in Asia and the Middle East.

It is uncertain how many employees will be affected by the proposed retrenchment.

Nonetheless, HSBC will continue its debt capital markets and leveraged acquisition finance operations globally.

This aligns with the bank’s ongoing overhaul of its dealmaking and corporate advisory activities in the West, which is intended to tighten its focus on Asia and boost returns under current CEO Georges Elhedery.

HSBC’s Other Restructuring Efforts",2025-01-29 23:59:00.000,"HSBC Plans to Exit Parts of IB Units in U.K., Europe & U.S.",https://finance.yahoo.com/news/hsbc-plans-exit-parts-ib-155900385.html,{HSBC},,"HSBC Holdings PLC HSBC plans to close its mergers and acquisitions (M&A) and some equities businesses in Europe and the Americas to enhance its focus on the Asian region.
Rationale Behind HSBC’s Retrenchment The move aims to accelerate the shift from Western markets to Eastern regions where HSBC has higher profitability.
Michael Roberts, CEO of HSBC Bank, stated, “Our intention is to move to a more competitive, scalable, financing-led model.” The bank also mentioned retaining more focused M&A and equity capital markets capabilities in Asia and the Middle East.
It is uncertain how many employees will be affected by the proposed retrenchment.
Nonetheless, HSBC will continue its debt capital markets and leveraged acquisition finance operations globally."
